iter	MAE	RMSE
734	0.1455931827	0.1902359992
735	0.1455660822	0.1902072026
736	0.1455450057	0.1901802642
737	0.1455093913	0.1901332562
738	0.1454928484	0.1901137607
739	0.1454767815	0.1900924797
740	0.1454733472	0.190089451
741	0.1454426616	0.19004866
742	0.1454275083	0.1900282768
743	0.1454107244	0.1900063987
744	0.1453772504	0.189963758
745	0.1453396204	0.1899184088
746	0.1453237289	0.1898992581
747	0.1452846923	0.1898450678
748	0.1452726157	0.1898319236
749	0.1452633742	0.1898206253
750	0.1452458681	0.1898019412
751	0.1452269651	0.1897785466
752	0.145209804	0.1897576861
753	0.1451969116	0.1897397556
754	0.1451672844	0.1897023259
755	0.1451523232	0.189683125
756	0.1451387845	0.1896622822
757	0.1451172734	0.1896329256
758	0.1451030672	0.1896145018
759	0.1450891473	0.1895952163
760	0.1450613594	0.1895606224
761	0.1450410513	0.1895389715
762	0.1450139197	0.1895073612
763	0.144997053	0.1894860761
764	0.1449678569	0.1894516715
765	0.1449600617	0.1894404072
766	0.1449493904	0.189427957
767	0.1449265987	0.1893984057
768	0.1449032409	0.1893707657
769	0.1448792445	0.1893393554
770	0.1448611778	0.1893188975
771	0.1448455978	0.1892994028
772	0.144836096	0.1892892138
773	0.1448296856	0.1892809661
774	0.144800532	0.1892460006
775	0.144770598	0.1892078082
776	0.1447562675	0.189187829
777	0.1447389816	0.1891657252
778	0.1447036061	0.1891262059
779	0.14466937	0.1890870189
780	0.1446566488	0.189071478
781	0.1446441681	0.1890555392
782	0.1446243631	0.1890301264
783	0.1445935522	0.1889913536
784	0.1445822075	0.1889776596
785	0.1445631287	0.1889549651
786	0.1445358898	0.1889184296
787	0.1445173249	0.1888975249
788	0.1444806624	0.1888507764
789	0.1444552774	0.1888208635
790	0.1444254049	0.1887865628
791	0.1444057866	0.1887582173
792	0.1443807998	0.1887240454
793	0.1443606627	0.1886994181
794	0.1443478714	0.1886850897
795	0.1443454026	0.1886823143
796	0.1443343813	0.1886709086
797	0.1443209186	0.1886559376
798	0.1443069536	0.1886363908
799	0.1442746544	0.1885985438
800	0.144250933	0.1885689938
801	0.1442387445	0.1885557046
802	0.1442285521	0.1885410828
803	0.1441991442	0.1885019061
804	0.1441713732	0.1884651586
805	0.1441465893	0.1884350211
806	0.1441140511	0.1883912087
807	0.1440965101	0.1883683544
808	0.1440846497	0.1883558344
809	0.1440670567	0.1883339059
810	0.144051332	0.1883131194
811	0.1440388517	0.1882967804
812	0.1440120515	0.1882592974
813	0.1439921379	0.1882341773
814	0.1439709606	0.1882050475
815	0.1439464367	0.1881733161
816	0.1439255724	0.1881456923
817	0.1438946271	0.1881096598
818	0.1438776698	0.1880918068
819	0.1438403333	0.1880433275
820	0.1438240783	0.1880254125
821	0.1438125194	0.1880100918
822	0.1437856524	0.1879788675
823	0.1437716911	0.1879617925
824	0.1437577786	0.1879437011
825	0.1437559994	0.1879424614
826	0.1437448607	0.1879289167
827	0.1437154533	0.1878923099
828	0.143681914	0.1878520013
829	0.1436598638	0.1878215322
830	0.1436404667	0.1877953767
831	0.1436040003	0.1877503204
832	0.1435945346	0.187737078
833	0.1435888846	0.1877290485
834	0.1435746263	0.1877101546
835	0.1435595514	0.1876893463
836	0.1435340552	0.1876549992
837	0.1434853259	0.1875988831
838	0.143471654	0.187582666
839	0.1434437733	0.187551552
840	0.1434314193	0.1875368607
841	0.1433898393	0.1874879722
842	0.1433788624	0.1874782435
843	0.1433599488	0.1874530652
844	0.1433324603	0.1874215035
845	0.1433074866	0.1873904188
846	0.1432871659	0.1873659227
847	0.1432712717	0.1873478283
848	0.1432566712	0.1873281609
849	0.1432250184	0.187286278
850	0.1432071723	0.1872672884
851	0.1431850074	0.1872353544
852	0.1431706731	0.1872165918
853	0.1431561697	0.1871998863
854	0.1431369585	0.1871773083
855	0.1431095444	0.1871461538
856	0.1431085001	0.1871449995
857	0.143077677	0.1871036002
858	0.1430550481	0.1870728476
859	0.1430213498	0.1870281773
860	0.1430132744	0.1870168892
861	0.1429946924	0.1869942066
862	0.1429774112	0.1869730022
863	0.1429527142	0.1869398669
864	0.1429309212	0.1869155814
865	0.1429068789	0.1868865415
866	0.1428913747	0.1868630358
867	0.1428587828	0.1868238921
868	0.1428369108	0.1867946093
869	0.1427906703	0.1867377637
870	0.1427565112	0.1866934546
871	0.142756185	0.1866928829
872	0.1427416066	0.1866753456
873	0.1427285401	0.186655537
874	0.142711755	0.1866364024
875	0.1426933718	0.1866138484
876	0.1426754293	0.1865891843
877	0.1426475165	0.1865545011
878	0.1426305987	0.1865339326
879	0.1426044022	0.1865068817
880	0.1425862881	0.1864871815
881	0.1425639851	0.1864611534
